k,cv_accuracy_mean,cv_accuracy_std
1,0.7757859900717043,0.040274072268367926
2,0.7595330023901452,0.03494210308112194
3,0.8165471594043023,0.023366928122367923
4,0.8355580069865784,0.030109206931930612
5,0.8274315131457989,0.021442084349122637
6,0.8315039529325243,0.02811076313843031
7,0.8505607648464792,0.028109710921155082
8,0.8342618128332415,0.03654245195399802
9,0.8424250781393638,0.028448087967144726
10,0.8356039713182571,0.029582461038879102
11,0.835603971318257,0.035026094687965574
12,0.8328828828828829,0.035620244408288836
13,0.828792057363486,0.03484829267897153
14,0.8288104430961573,0.03949606300336029
15,0.8328736900165472,0.035139940496462255
16,0.8355855855855856,0.03484591120020856
17,0.8314855671998529,0.02979164462027979
18,0.8233314947600663,0.04162541246069382
19,0.8301342158485016,0.02770128987549561
20,0.8219893362750506,0.03567825208667882
