feature,importance
cp_asymptomatic,0.11677995404570739
oldpeak,0.10680043534740943
thalch,0.0971389715339273
chol,0.09404208659036277
age,0.08137118239861908
exang,0.07339572381118639
trestbps,0.05898784654828712
cp_atypical angina,0.05409698699984289
sex_male,0.03433430271215565
thal_normal,0.034131608211045744
dataset_switzerland,0.03290022572895559
sex_female,0.024765604964300615
ca,0.020654666948514533
dataset_hungary,0.020490933924744385
cp_non-anginal,0.018058027740844227
dataset_va long beach,0.017299161394390812
thal_reversable defect,0.016776462226069908
fbs,0.014861506556915111
slope_upsloping,0.013407673071232586
dataset_cleveland,0.012441907158207975
restecg_normal,0.012176263696743461
slope_flat,0.011158644852181739
restecg_st-t abnormality,0.009940887669697005
restecg_lv hypertrophy,0.008386054230139982
cp_typical angina,0.006343852430501986
thal_fixed defect,0.005444541255915317
slope_downsloping,0.003814487952100881
